{16,3}    	{2}       	6.40	25.40
{2,3}     	{16}      	6.40	88.89
{16}      	{8,19}    	8.40	19.81
{8}       	{16,19}   	8.40	18.58
{19}      	{16,8}    	8.40	35.00
{16,8}    	{19}      	8.40	27.81
{16,19}   	{8}       	8.40	71.19
{8,19}    	{16}      	8.40	63.64
{8}       	{1,3}     	9.60	21.24
{1}       	{8,3}     	9.60	32.21
{3}       	{8,1}     	9.60	32.00
{8,1}     	{3}       	9.60	62.34
{8,3}     	{1}       	9.60	37.21
{1,3}     	{8}       	9.60	88.89
{8}       	{3,19}    	6.20	13.72
{19}      	{8,3}     	6.20	25.83
{3}       	{8,19}    	6.20	20.67
{8,19}    	{3}       	6.20	46.97
{8,3}     	{19}      	6.20	24.03
{3,19}    	{8}       	6.20	86.11
{16}      	{8,18}    	9.60	22.64
{8}       	{16,18}   	9.60	21.24
{18}      	{16,8}    	9.60	34.78
{16,8}    	{18}      	9.60	31.79
{16,18}   	{8}       	9.60	72.73
{8,18}    	{16}      	9.60	64.86
{16}      	{8,5}     	9.20	21.70
{8}       	{16,5}    	9.20	20.35
{5}       	{16,8}    	9.20	36.51
{16,8}    	{5}       	9.20	30.46
{16,5}    	{8}       	9.20	75.41
{8,5}     	{16}      	9.20	73.02
{16}      	{8,10}    	8.60	20.28
{8}       	{16,10}   	8.60	19.03
{10}      	{16,8}    	8.60	29.66
{16,8}    	{10}      	8.60	28.48
{16,10}   	{8}       	8.60	64.18
{8,10}    	{16}      	8.60	64.18
{8}       	{5,15}    	5.00	11.06
{5}       	{8,15}    	5.00	19.84
{15}      	{8,5}     	5.00	17.86
{8,5}     	{15}      	5.00	39.68
{8,15}    	{5}       	5.00	40.32
{5,15}    	{8}       	5.00	54.35
{8}       	{18,5}    	5.20	11.50
{18}      	{8,5}     	5.20	18.84
{5}       	{8,18}    	5.20	20.63
{8,18}    	{5}       	5.20	35.14
{8,5}     	{18}      	5.20	41.27
{18,5}    	{8}       	5.20	53.06
{16}      	{5,15}    	5.80	13.68
{5}       	{16,15}   	5.80	23.02
{15}      	{16,5}    	5.80	20.71
{16,5}    	{15}      	5.80	47.54
{16,15}   	{5}       	5.80	42.03
{5,15}    	{16}      	5.80	63.04
{16}      	{8,15}    	8.60	20.28
{8}       	{16,15}   	8.60	19.03
{15}      	{16,8}    	8.60	30.71
{16,8}    	{15}      	8.60	28.48
{16,15}   	{8}       	8.60	62.32
{8,15}    	{16}      	8.60	69.35
{16}      	{8,0}     	6.60	15.57
{8}       	{16,0}    	6.60	14.60
{0}       	{16,8}    	6.60	24.63
{16,8}    	{0}       	6.60	21.85
{16,0}    	{8}       	6.60	64.71
{8,0}     	{16}      	6.60	55.93
{16}      	{8,6}     	7.60	17.92
{8}       	{16,6}    	7.60	16.81
{6}       	{16,8}    	7.60	33.63
{16,8}    	{6}       	7.60	25.17
{16,6}    	{8}       	7.60	70.37
{8,6}     	{16}      	7.60	60.32
{16}      	{8,13}    	9.40	22.17
{8}       	{16,13}   	9.40	20.80
{13}      	{16,8}    	9.40	31.76
{16,8}    	{13}      	9.40	31.13
{16,13}   	{8}       	9.40	68.12
{8,13}    	{16}      	9.40	65.28
{16}      	{3,13}    	7.40	17.45
{3}       	{16,13}   	7.40	24.67
{13}      	{16,3}    	7.40	25.00
{16,3}    	{13}      	7.40	29.37
{16,13}   	{3}       	7.40	53.62
{3,13}    	{16}      	7.40	82.22
{8}       	{3,13}    	8.00	17.70
{3}       	{8,13}    	8.00	26.67
{13}      	{8,3}     	8.00	27.03
{8,3}     	{13}      	8.00	31.01
{8,13}    	{3}       	8.00	55.56
{3,13}    	{8}       	8.00	88.89
{16}      	{1,9}     	6.20	14.62
{1}       	{16,9}    	6.20	20.81
{9}       	{16,1}    	6.20	22.30
{16,1}    	{9}       	6.20	38.27
{16,9}    	{1}       	6.20	46.97
{1,9}     	{16}      	6.20	64.58
{16}      	{9,3}     	7.40	17.45
{9}       	{16,3}    	7.40	26.62
{3}       	{16,9}    	7.40	24.67
{16,9}    	{3}       	7.40	56.06
{16,3}    	{9}       	7.40	29.37
{9,3}     	{16}      	7.40	78.72
{8}       	{1,13}    	6.00	13.27
{1}       	{8,13}    	6.00	20.13
{13}      	{8,1}     	6.00	20.27
{8,1}     	{13}      	6.00	38.96
{8,13}    	{1}       	6.00	41.67
{1,13}    	{8}       	6.00	58.82
{8}       	{9,3}     	8.20	18.14
{9}       	{8,3}     	8.20	29.50
{3}       	{8,9}     	8.20	27.33
{8,9}     	{3}       	8.20	59.42
{8,3}     	{9}       	8.20	31.78
{9,3}     	{8}       	8.20	87.23
{16}      	{8,9}     	9.00	21.23
{8}       	{16,9}    	9.00	19.91
{9}       	{16,8}    	9.00	32.37
{16,8}    	{9}       	9.00	29.80
{16,9}    	{8}       	9.00	68.18
{8,9}     	{16}      	9.00	65.22
{16}      	{8,11}    	8.20	19.34
{8}       	{16,11}   	8.20	18.14
{11}      	{16,8}    	8.20	29.93
{16,8}    	{11}      	8.20	27.15
{16,11}   	{8}       	8.20	67.21
{8,11}    	{16}      	8.20	66.13
{8}       	{3,6}     	5.60	12.39
{3}       	{8,6}     	5.60	18.67
{6}       	{8,3}     	5.60	24.78
{8,3}     	{6}       	5.60	21.71
{8,6}     	{3}       	5.60	44.44
{3,6}     	{8}       	5.60	90.32
{16}      	{17,6}    	5.00	11.79
{17}      	{16,6}    	5.00	21.01
{6}       	{16,17}   	5.00	22.12
{16,17}   	{6}       	5.00	38.46
{16,6}    	{17}      	5.00	46.30
{17,6}    	{16}      	5.00	69.44
{16}      	{3,6}     	5.60	13.21
{3}       	{16,6}    	5.60	18.67
{6}       	{16,3}    	5.60	24.78
{16,3}    	{6}       	5.60	22.22
{16,6}    	{3}       	5.60	51.85
{3,6}     	{16}      	5.60	90.32
{16}      	{12,13}   	5.20	12.26
{12}      	{16,13}   	5.20	21.31
{13}      	{16,12}   	5.20	17.57
{16,12}   	{13}      	5.20	38.81
{16,13}   	{12}      	5.20	37.68
{12,13}   	{16}      	5.20	56.52
{16}      	{1,10}    	6.20	14.62
{1}       	{16,10}   	6.20	20.81
{10}      	{16,1}    	6.20	21.38
{16,1}    	{10}      	6.20	38.27
{16,10}   	{1}       	6.20	46.27
{1,10}    	{16}      	6.20	60.78
{16}      	{1,12}    	5.40	12.74
{1}       	{16,12}   	5.40	18.12
{12}      	{16,1}    	5.40	22.13
{16,1}    	{12}      	5.40	33.33
{16,12}   	{1}       	5.40	40.30
{1,12}    	{16}      	5.40	65.85
{16}      	{10,13}   	5.80	13.68
{10}      	{16,13}   	5.80	20.00
{13}      	{16,10}   	5.80	19.59
{16,10}   	{13}      	5.80	43.28
{16,13}   	{10}      	5.80	42.03
{10,13}   	{16}      	5.80	51.79
{8}       	{18,3}    	8.20	18.14
{18}      	{8,3}     	8.20	29.71
{3}       	{8,18}    	8.20	27.33
{8,18}    	{3}       	8.20	55.41
{8,3}     	{18}      	8.20	31.78
{18,3}    	{8}       	8.20	91.11
{16}      	{3,5}     	7.00	16.51
{3}       	{16,5}    	7.00	23.33
